充 分 利 用	-10.7555	26	0.194155	16	0.178626	204	0.138831	233	0.13862	245	0.104117	52	0.0833929	240	0.0817243	318	0.0805342
设 计 图	-10.7716	251	0.183656	71	0.154366	466	0.141032	54	0.11614	103	0.10631	133	0.103175	382	0.0990014	402	0.0963202
护 肤 品	-10.7794	327	0.190124	474	0.165442	317	0.134911	477	0.126749	182	0.100369	254	0.0959196	160	0.0938438	463	0.0926414
完 整 版	-10.8005	58	0.212641	271	0.130759	274	0.119724	152	0.111656	83	0.111069	371	0.110443	314	0.101996	458	0.101713
情 人 节	-10.8204	361	0.253841	194	0.129806	341	0.108335	71	0.106248	80	0.101469	199	0.101453	467	0.100781	203	0.098067
高 尔 夫	-10.8358	247	0.181493	430	0.150579	360	0.118546	379	0.111792	441	0.110679	40	0.109933	177	0.108795	284	0.108184
比 基 尼	-10.8483	505	0.194677	440	0.175343	193	0.138942	165	0.137331	45	0.0905524	313	0.0903617	312	0.0897055	175	0.0830879
通 讯 员	-10.8597	104	0.180672	131	0.141441	257	0.136759	34	0.128181	221	0.112732	61	0.104683	13	0.10184	19	0.093693
爸 爸 妈 妈	-10.8693	203	0.175252	346	0.160306	69	0.122631	234	0.116112	74	0.114772	107	0.109599	427	0.10669	50	0.0946389
农 民 工	-10.8802	115	0.194023	110	0.13106	69	0.117879	427	0.117844	59	0.11445	346	0.11149	303	0.106898	74	0.106356
多 媒 体	-10.8871	383	0.145631	409	0.138153	122	0.137992	82	0.136032	183	0.116814	7	0.112364	465	0.108746	370	0.104268
第 三 次	-10.8967	50	0.176918	130	0.136332	358	0.128263	231	0.116548	390	0.112282	361	0.111809	340	0.11138	233	0.106467
文 化 遗 产	-10.9088	150	0.211809	298	0.131627	77	0.118944	255	0.111809	438	0.109768	348	0.107557	123	0.1044	21	0.104087
联 系 人	-10.9206	278	0.156446	364	0.139764	37	0.135839	384	0.122451	104	0.122428	55	0.112391	159	0.110474	195	0.100205
说 明 书	-10.9292	54	0.158946	95	0.147201	133	0.125743	314	0.12335	159	0.119197	90	0.108948	335	0.108766	364	0.107848
高 血 压	-10.9387	498	0.178456	306	0.178312	236	0.118009	499	0.114301	415	0.110106	410	0.105819	253	0.101394	99	0.0936025
座 谈 会	-10.9463	447	0.228499	238	0.159461	145	0.113226	256	0.111462	250	0.107906	95	0.103812	456	0.0918355	441	0.0837997
江 西 省	-10.9636	63	0.15793	414	0.138324	433	0.126211	356	0.124911	67	0.121593	334	0.119139	290	0.109987	164	0.101905
必 不 可 少	-10.9724	190	0.215001	275	0.154251	473	0.130207	261	0.119623	373	0.106889	454	0.0969768	167	0.0952024	243	0.0818493
吉 林 省	-10.9788	63	0.161509	414	0.136211	433	0.129896	334	0.120979	356	0.12026	67	0.115795	290	0.10997	164	0.10538
详 细 信 息	-10.9967	121	0.167985	49	0.141901	365	0.132163	54	0.129611	113	0.11955	30	0.117513	33	0.0967859	159	0.0944905
使 用 方 法	-11.0094	54	0.178935	49	0.168007	33	0.125827	365	0.111019	232	0.106243	260	0.106055	235	0.105372	408	0.0985424
公 安 机 关	-11.0211	385	0.169872	23	0.143314	281	0.135734	169	0.12485	405	0.112755	412	0.108281	427	0.103876	110	0.101319
战 斗 力	-11.0346	376	0.193407	30	0.135381	324	0.123781	120	0.122227	289	0.109693	201	0.109306	301	0.103738	18	0.102466
电 子 科 技	-11.0495	40	0.302743	221	0.136804	257	0.102888	329	0.0973229	19	0.0934051	117	0.0899237	508	0.0888636	416	0.0880501
工 程 建 设	-11.0586	413	0.18769	470	0.138386	21	0.121383	4	0.116353	235	0.113524	223	0.112374	255	0.106673	348	0.103617
休 闲 鞋	-11.0683	45	0.263941	193	0.154395	198	0.132282	460	0.11002	440	0.09139	185	0.0857832	393	0.0834207	362	0.0787677
复 印 件	-11.077	335	0.240338	159	0.149522	278	0.118798	155	0.118265	95	0.0995936	232	0.0914274	143	0.091178	93	0.0908769
进 出 口	-11.0859	40	0.177061	4	0.150427	329	0.119871	348	0.114419	235	0.110803	133	0.109535	477	0.109088	5	0.108796
第 一 季	-11.0934	58	0.194898	274	0.155816	271	0.139974	458	0.124529	371	0.1044	467	0.099179	136	0.0909925	340	0.0902117
老 师 们	-11.1057	69	0.151337	22	0.13513	427	0.13034	110	0.12369	322	0.123043	203	0.118128	59	0.113328	346	0.105005
课 堂 教 学	-11.1167	183	0.220202	488	0.119688	21	0.114155	298	0.111841	238	0.111006	189	0.109237	119	0.108346	467	0.105525
三 角 形	-11.1238	459	0.212707	345	0.170366	116	0.124715	263	0.11095	296	0.102584	396	0.0963373	134	0.0926451	147	0.0896968
医 疗 器 械	-11.1339	329	0.153282	477	0.142286	40	0.14074	4	0.135545	7	0.124753	350	0.11437	348	0.0996469	303	0.0893785
下 意 识	-11.1435	432	0.287311	454	0.14432	304	0.119159	443	0.10435	50	0.0978729	508	0.0958545	399	0.0822453	398	0.068888
专 业 化	-11.1478	471	0.15663	167	0.143917	100	0.126369	21	0.12567	156	0.122989	337	0.110177	189	0.108894	370	0.105354
宝 安 区	-11.1552	63	0.193231	414	0.132097	330	0.127438	356	0.115408	472	0.113217	57	0.10908	334	0.106345	212	0.103185
实 施 方 案	-11.1677	232	0.191753	365	0.127027	189	0.126711	159	0.124195	54	0.114506	95	0.105951	223	0.105777	501	0.104079
社 会 各 界	-11.1752	22	0.170438	481	0.141499	385	0.131423	303	0.121505	110	0.114326	23	0.111422	115	0.10526	59	0.104126
纪 录 片	-11.1854	458	0.21636	58	0.122392	90	0.118523	30	0.115885	121	0.113113	95	0.110199	87	0.104241	80	0.0992873
固 定 资 产	-11.1907	5	0.179089	168	0.137154	289	0.129174	143	0.119722	7	0.115647	159	0.111826	324	0.106925	135	0.100464
不 正 常	-11.1959	473	0.168555	28	0.131763	243	0.122925	373	0.122045	259	0.119526	190	0.114824	369	0.112302	197	0.108061
老 爷 子	-11.2022	203	0.172497	107	0.15425	234	0.128549	282	0.122638	31	0.1083	270	0.106481	221	0.104701	242	0.102583
基 督 徒	-11.2104	69	0.162609	59	0.142733	346	0.135389	74	0.13435	115	0.112178	311	0.106803	427	0.103518	157	0.10242
一 大 批	-11.2213	102	0.208346	113	0.144678	433	0.130766	209	0.120325	481	0.107899	118	0.10079	64	0.0936941	22	0.0935024
保 健 品	-11.2258	477	0.188383	182	0.135514	307	0.125595	327	0.120394	254	0.115082	160	0.112595	218	0.104902	7	0.0975346
第 一 届	-11.2301	130	0.172461	145	0.12806	64	0.120609	431	0.119944	63	0.118425	205	0.11577	391	0.113478	177	0.111253
笑 了 笑	-11.2341	508	0.274883	443	0.112693	219	0.110285	50	0.107773	292	0.10636	432	0.101222	52	0.0945184	215	0.0922649
点 点 头	-11.2392	508	0.263514	219	0.114132	443	0.113791	50	0.112108	292	0.10296	432	0.101985	52	0.101763	473	0.089747
污 染 物	-11.2433	479	0.180157	29	0.146931	218	0.125046	42	0.114269	277	0.111526	488	0.11136	392	0.106049	10	0.104662
看 电 影	-11.2508	53	0.209242	163	0.171365	354	0.125485	47	0.114791	51	0.10655	468	0.0929118	219	0.0900252	292	0.0896297
大 法 弟 子	-11.2601	74	0.14707	346	0.13843	427	0.131047	115	0.121564	69	0.119754	22	0.117576	203	0.113649	110	0.110911
经 济 学	-11.2671	9	0.170052	119	0.162244	286	0.118803	123	0.113814	90	0.111113	298	0.110658	183	0.108916	295	0.104401
第 五 章	-11.2722	58	0.163303	108	0.13915	188	0.131488	14	0.120877	349	0.117357	50	0.109911	358	0.109553	64	0.108361
个 人 认 为	-11.278	52	0.20067	15	0.198232	50	0.134082	203	0.105213	44	0.0948233	64	0.0917518	69	0.0878273	158	0.0874004
高 新 区	-11.2872	63	0.156461	212	0.150793	356	0.120013	130	0.118465	57	0.114542	414	0.114429	433	0.113548	255	0.111749
专 科 医 院	-11.2961	504	0.24464	415	0.194446	305	0.102332	498	0.0975188	160	0.0934289	62	0.0925375	448	0.0878572	38	0.0872398
药 物 治 疗	-11.302	415	0.202714	305	0.146493	446	0.129173	62	0.118768	306	0.108404	486	0.0988794	498	0.0978892	307	0.0976787
原 装 进 口	-11.3104	404	0.168105	133	0.144807	206	0.128054	406	0.121611	268	0.118488	252	0.112875	317	0.111127	493	0.0949331
犯 罪 嫌 疑 人	-11.3183	421	0.154816	187	0.143628	276	0.133677	281	0.121401	74	0.11926	427	0.110186	115	0.109886	59	0.107146
做 生 意	-11.3244	53	0.169687	354	0.148011	163	0.145128	47	0.140371	51	0.102407	219	0.100943	3	0.0988059	358	0.0946473
深 深 地	-11.3334	473	0.1596	50	0.142722	443	0.141409	508	0.132066	28	0.113873	243	0.106062	204	0.102831	3	0.101437
发 展 规 划	-11.3406	232	0.143858	189	0.142273	100	0.141688	21	0.13343	370	0.113724	324	0.111545	365	0.107045	223	0.106436
时 间 段	-11.3466	496	0.201231	231	0.149003	137	0.133931	384	0.105564	33	0.105535	364	0.104734	345	0.101848	365	0.0981534
意 识 形 态	-11.3512	123	0.162422	311	0.151162	298	0.136485	119	0.131438	189	0.110336	453	0.105402	365	0.10251	295	0.100245
乒 乓 球	-11.3571	441	0.181177	264	0.165717	340	0.130628	284	0.111528	310	0.110836	87	0.10621	241	0.099867	430	0.0940377
近 距 离	-11.3629	220	0.160167	50	0.135181	318	0.126372	292	0.123173	219	0.12187	358	0.118848	246	0.109298	454	0.10509
诸 葛 亮	-11.3691	270	0.172572	242	0.14427	343	0.121494	203	0.119109	35	0.115301	107	0.111339	141	0.109647	386	0.106268
无 人 机	-11.3737	94	0.189088	217	0.157787	409	0.131912	383	0.108009	360	0.105887	91	0.103427	122	0.101961	463	0.101929
